"","gene_id","gene_type","logFC","AveExpr"
"12265","ENSG00000252620.1","snRNA",-0.316612824752093,-1.24091376891747
"13564","ENSG00000250677.1","processed_pseudogene",0.34424658950632,1.18100679508442
"14542","ENSG00000251162.1","processed_pseudogene",0.288986286966654,0.963753404984955
"12770","ENSG00000239001.1","snRNA",0.284058281834554,-0.736589822470625
"9958","ENSG00000169981.10","protein_coding",0.347178018242233,-0.428500365035496
"14566","ENSG00000249617.1","processed_pseudogene",0.374689522165781,-0.129425141225655
"15465","ENSG00000250048.2","lincRNA",0.252694551635774,-0.535953826912674
"15250","ENSG00000200600.1","misc_RNA",0.337943037221574,-1.27459279703789
"11697","ENSG00000168827.14","protein_coding",0.290494501397552,3.84023733566691
"11797","ENSG00000222357.1","snRNA",0.28599891338401,3.44827010957692
"11347","ENSG00000174564.12","protein_coding",0.272108621459342,1.36671168564754
"18853","ENSG00000217227.1","processed_pseudogene",0.493059217950792,-1.44600790965359
"17665","ENSG00000253979.1","lincRNA",0.646880754131361,-2.17342823170939
"8315","ENSG00000225406.1","processed_pseudogene",0.222345073625716,4.08890160960259
"621","ENSG00000162482.4","protein_coding",0.258841482280639,-0.277348793509191
"14525","ENSG00000248431.1","lincRNA",0.295812444787725,-0.250175119334968
"15889","ENSG00000226544.4","processed_pseudogene",0.342316835504766,-0.566906433704992
"8703","ENSG00000235864.1","processed_pseudogene",0.296352879466076,1.2139621293489
"3857","ENSG00000233540.1","sense_intronic",0.249841735331847,2.77274547745651
"4184","ENSG00000276735.1","misc_RNA",0.281264406050096,1.33907145117347
"7789","ENSG00000232606.1","lincRNA",0.28270433407131,1.78064289610704
"17680","ENSG00000250999.1","antisense",0.290359320041832,0.406575582495041
"14788","ENSG00000250410.1","antisense",0.24529521474004,0.781992260403395
"18723","ENSG00000242014.3","misc_RNA",0.248490038900778,1.74544920470465
"13318","ENSG00000248763.2","unprocessed_pseudogene",0.332236472695574,-1.57995286065138
"3659","ENSG00000227243.3","unprocessed_pseudogene",0.294771386005946,-0.802685828847038
"1860","ENSG00000212257.1","snRNA",0.252258312185585,2.11738010917208
"10400","ENSG00000244342.5","lincRNA",0.279978201638775,12.0156852824614
"7625","ENSG00000234576.2","unprocessed_pseudogene",0.343811280449766,-0.0285309872862329
"15063","ENSG00000250786.1","lincRNA",0.254652000460037,0.899935098582737
"10506","ENSG00000244345.1","lincRNA",0.351980730586428,-0.404851041284904
"12965","ENSG00000154277.12","protein_coding",0.352866357519732,-1.03063018155392
"18833","ENSG00000275550.1","processed_pseudogene",0.358742395879571,-0.0162932516021306
"11624","ENSG00000279305.1","TEC",0.278884212714655,-1.01405744486569
"9528","ENSG00000207163.1","snRNA",0.330447972012655,0.879214562743717
"18725","ENSG00000030110.12","protein_coding",0.234299580646816,2.14100464449166
"15879","ENSG00000264099.1","miRNA",0.258465262933703,1.14929108923191
"1440","ENSG00000232369.1","processed_pseudogene",0.26182924358456,0.536861305890766
"6340","ENSG00000227791.3","processed_pseudogene",0.264978858422694,-0.853756281440347
"6571","ENSG00000159399.9","protein_coding",0.568115416382197,-1.32827761667853
"15035","ENSG00000249159.6","lincRNA",0.276192706831172,3.66295355547075
"10039","ENSG00000163832.15","protein_coding",0.266964620627353,1.5742095402066
"15876","ENSG00000278824.1","processed_pseudogene",0.330242248410465,-0.0554328080591542
"115","ENSG00000179403.11","protein_coding",0.226755155224387,0.45359277073487
"14695","ENSG00000249084.1","antisense",0.247600543834075,-0.382346780471395
"8097","ENSG00000252779.1","snRNA",0.524620505763618,-1.62944895459875
"18704","ENSG00000204220.11","protein_coding",0.195306479297251,1.0199835256503
"7133","ENSG00000279904.1","TEC",0.250021261613055,-0.549272373386282
"12651","ENSG00000264931.1","miRNA",0.294397567043896,0.19100901863486
"4087","ENSG00000201312.1","rRNA_pseudogene",0.281340866085753,-1.27895062163811
"13002","ENSG00000239679.3","misc_RNA",0.52198297367988,-0.603600270398157
"1178","ENSG00000252368.1","rRNA_pseudogene",0.20884397856072,3.35311492765463
"2552","ENSG00000199710.1","misc_RNA",0.278059096258456,0.850219254203712
"11509","ENSG00000242440.1","lincRNA",0.252685271119026,1.81062315830696
"434","ENSG00000116726.4","protein_coding",0.256963604737588,-1.37716424344784
"5746","ENSG00000138073.13","protein_coding",0.293577869059629,-0.699814185912287
"5244","ENSG00000230411.1","unprocessed_pseudogene",0.288383156423733,1.24958250989554
"8284","ENSG00000234595.1","antisense",0.30016083255017,-1.41066795499485
"5642","ENSG00000206882.1","rRNA_pseudogene",0.264872392494579,0.0385821054055317
"1441","ENSG00000268949.1","processed_pseudogene",0.241785871999635,1.40651456516212
"12781","ENSG00000251292.1","lincRNA",0.281733121394995,1.71173880786066
"790","ENSG00000238482.1","snRNA",0.280388627495659,-1.3625265160905
"14506","ENSG00000164123.6","protein_coding",0.375996485158417,-0.758050769589732
"14549","ENSG00000244146.1","processed_pseudogene",0.30390066790493,-1.00999643390035
"14696","ENSG00000038002.8","protein_coding",0.240309010254873,0.110016233161557
"16848","ENSG00000120733.13","protein_coding",0.242782057563174,0.861453983451328
"9526","ENSG00000131389.17","protein_coding",0.354269523896203,-1.46554457370792
"14565","ENSG00000250430.1","processed_pseudogene",0.281158718406543,4.21839324052846
"4327","ENSG00000184774.10","transcribed_unitary_pseudogene",0.212109554899826,0.868396986994129
"6968","ENSG00000228873.1","lincRNA",0.236125571083407,0.566739772784965
"10741","ENSG00000181458.10","protein_coding",0.21794480025009,0.939523180342518
"16941","ENSG00000202515.1","misc_RNA",0.278972629076613,-0.745805992030805
"15627","ENSG00000251307.1","antisense",0.224774232447034,4.82656822980545
"9688","ENSG00000206559.7","protein_coding",0.223099441360012,3.60005881699744
"9190","ENSG00000231546.1","transcribed_processed_pseudogene",0.301927367123606,0.131654971211052
"9525","ENSG00000199609.1","rRNA_pseudogene",0.270374014647299,1.5417786604298
"2881","ENSG00000276216.1","lincRNA",0.217955045964785,-0.13922468112521
"15280","ENSG00000249616.1","processed_pseudogene",0.323006567113192,-0.488295700384084
"3162","ENSG00000226716.1","antisense",0.27071584324043,-0.671207010722183
"8078","ENSG00000234350.4","lincRNA",0.225904837051562,-1.09295500703873
"9340","ENSG00000214073.2","processed_pseudogene",0.324389098545569,-1.38783540771638
"8858","ENSG00000163497.2","protein_coding",0.302184010940683,-0.751950724350771
"12772","ENSG00000244538.1","processed_pseudogene",0.197837810838277,2.33466607494007
"998","ENSG00000223382.4","lincRNA",-0.239132139611669,0.017860275963818
"2012","ENSG00000199921.1","snRNA",0.210613775811521,1.38199087748255
"9173","ENSG00000226542.1","lincRNA",0.259281710802829,0.44307277050424
"9191","ENSG00000144476.5","protein_coding",0.252822291890159,4.53462782745211
"7903","ENSG00000282440.1","lincRNA",0.217627933203816,0.715587454055941
"1525","ENSG00000271355.1","processed_pseudogene",-0.286181289782978,1.35462826519486
"704","ENSG00000228397.2","lincRNA",0.263617807067129,1.50275591466599
"6327","ENSG00000283222.1","miRNA",0.26177952243933,0.518076182409193
"7790","ENSG00000226674.9","lincRNA",0.232244519268135,3.34575495366021
"16609","ENSG00000213630.3","processed_pseudogene",-0.262099718173388,1.28128094706422
"8916","ENSG00000235337.1","lincRNA",0.26976887667431,-0.241402343660774
"9776","ENSG00000230067.3","transcribed_processed_pseudogene",0.267173507916118,0.605981645590227
"4785","ENSG00000183814.15","protein_coding",0.261343274100928,0.708994955202904
"4049","ENSG00000271269.1","processed_pseudogene",0.217519343962522,-0.204198299408701
"8075","ENSG00000275414.1","misc_RNA",0.268392335835612,0.37681795973567
"4845","ENSG00000270104.1","lincRNA",-0.260613555436898,-0.569554326982753
"10615","ENSG00000241328.1","lincRNA",-0.235246377365295,0.227585435042432
"18734","ENSG00000271362.1","processed_pseudogene",0.244847586421411,-0.573349141139931
"2889","ENSG00000272150.5","transcribed_unprocessed_pseudogene",0.242317804413046,1.85436262306458
"3882","ENSG00000238272.1","antisense",0.390146364242737,-1.46259949832503
"1790","ENSG00000271200.1","lincRNA",0.259315481454118,1.7387644567299
"10968","ENSG00000251012.2","protein_coding",0.227423485319732,-1.22667627913882
"15848","ENSG00000254701.3","unprocessed_pseudogene",0.221644917630612,2.64903651330558
"3051","ENSG00000143401.14","protein_coding",0.246702173056857,-0.0450635851723397
"15722","ENSG00000251682.1","processed_pseudogene",0.27035725773406,1.48278742485367
"9978","ENSG00000011376.10","protein_coding",0.260914111778024,-0.323626691432495
"14886","ENSG00000199540.1","misc_RNA",0.235265109752419,1.58150990780895
"15721","ENSG00000130449.5","protein_coding",0.359056730587398,-1.61531377626864
"12583","ENSG00000250915.1","lincRNA",0.196208300775388,1.20609061764521
"4375","ENSG00000225522.2","processed_pseudogene",0.262519736752925,0.403210012408366
"15334","ENSG00000266243.1","miRNA",0.324071175388273,5.63552669860887
"14543","ENSG00000223037.1","snRNA",0.267027924462047,0.225855873697623
"5888","ENSG00000226994.7","lincRNA",0.225777183231762,1.22734542741077
"18599","ENSG00000204387.13","protein_coding",0.244744317556923,-0.103534510910035
"6664","ENSG00000260840.1","lincRNA",0.205933950301542,1.47456213232889
"14005","ENSG00000201186.1","snRNA",0.237592331699137,-0.923456125359018
"12720","ENSG00000137440.4","protein_coding",0.227102475473926,-0.747255998433632
"11055","ENSG00000065485.19","protein_coding",-0.259398440659519,-1.09392533593078
"10415","ENSG00000239653.1","antisense",0.234668214379004,-0.992216477667402
"14868","ENSG00000250053.1","processed_pseudogene",-0.294401956144321,-1.40597894233703
"2906","ENSG00000271601.3","protein_coding",0.189785366666331,6.02907509547496
"18534","ENSG00000223702.1","processed_pseudogene",0.298380059903286,-0.989338075684712
"8452","ENSG00000206836.1","snRNA",0.199226489701646,2.0946112502337
"7500","ENSG00000202532.1","snRNA",0.193719855519229,5.91125807103817
"16145","ENSG00000249061.1","lincRNA",0.295099838128811,-0.671977886644969
"8834","ENSG00000135913.10","protein_coding",0.27232175790051,-0.0500026399896841
"4445","ENSG00000261000.1","lincRNA",0.217962804398083,0.482604073065716
"15281","ENSG00000113100.9","protein_coding",0.284694295955837,-0.093143530492103
"9529","ENSG00000234123.1","processed_pseudogene",0.306163630491206,-1.41322210854546
"1777","ENSG00000265535.2","misc_RNA",0.214274430489494,3.367053757608
"18726","ENSG00000197251.3","lincRNA",0.20120355996798,4.01051088607382
"3938","ENSG00000237514.3","processed_pseudogene",0.233286005176134,-0.670561060241885
"4598","ENSG00000230461.8","processed_transcript",0.22230206939164,0.858131156078091
"15360","ENSG00000250583.1","lincRNA",0.216712919614197,0.952671489231378
"14238","ENSG00000222613.1","misc_RNA",0.167515720734982,7.84622153547222
"15285","ENSG00000250079.1","processed_pseudogene",0.293142351141758,4.62750471345327
"11895","ENSG00000226779.1","antisense",0.232211418650226,-1.34992753829236
"9043","ENSG00000201044.1","snRNA",0.299951705065057,0.890911778031255
"5681","ENSG00000184924.5","protein_coding",0.25541160691103,-1.33519444076792
"14641","ENSG00000221296.2","miRNA",0.240743414086132,0.165150580508905
"14547","ENSG00000248329.5","protein_coding",0.286472730700268,-1.00031558363132
"15952","ENSG00000242198.1","processed_pseudogene",0.207268577533331,2.5136788050657
"4378","ENSG00000143850.14","protein_coding",0.274206699736638,0.678491910281985
"14310","ENSG00000280250.1","TEC",0.206766149748912,2.43232159273823
"18562","ENSG00000204469.12","protein_coding",0.193045121539305,0.26148280476343
"6634","ENSG00000242118.3","misc_RNA",0.264502278429468,-1.035940274432
"6992","ENSG00000252845.1","rRNA_pseudogene",0.237165962584448,-0.134827552679816
"5248","ENSG00000241128.2","protein_coding",0.216556312331721,-0.0234268935736769
"137","ENSG00000008130.15","protein_coding",0.220706888652994,0.994542062260218
"16776","ENSG00000249192.1","processed_pseudogene",0.254976007308593,-0.0397506682348917
"2673","ENSG00000226973.1","unprocessed_pseudogene",0.178642335241021,2.19482023476934
"15006","ENSG00000112941.13","protein_coding",0.183549036615082,3.22181106630147
"10212","ENSG00000214686.5","protein_coding",0.232773507784469,1.12849326801056
"1966","ENSG00000285808.1","lincRNA",0.22104284169926,-0.706503724490792
"2553","ENSG00000237415.2","processed_pseudogene",0.232593209644556,1.62249034156602
"15431","ENSG00000248587.7","antisense",0.205911963049659,2.60981747549007
"4086","ENSG00000260976.1","lincRNA",0.220326558085784,-0.398552643663533
"703","ENSG00000201273.1","snRNA",0.209113812616259,3.03490463541685
"14158","ENSG00000283432.1","snRNA",0.208577905528444,2.10781004262949
"12017","ENSG00000043093.13","protein_coding",0.277566277873905,0.838871111933971
"8003","ENSG00000229641.1","processed_pseudogene",0.2313309916867,4.19556922958424
"13426","ENSG00000249717.1","antisense",-0.226425405103231,-0.549828401042692
"6932","ENSG00000204705.3","unprocessed_pseudogene",0.19959376358185,1.07817219839247
"11751","ENSG00000243044.1","processed_pseudogene",0.444545017299581,-1.26295392836722
"14269","ENSG00000197465.13","protein_coding",0.189056712892896,0.669040986571603
"15994","ENSG00000250802.7","antisense",0.228496572882893,0.924052830114124
"835","ENSG00000158014.14","protein_coding",0.203874344437364,-0.575972598463551
"18748","ENSG00000124614.15","protein_coding",0.218694658068988,0.267030746113699
"3313","ENSG00000163346.16","protein_coding",0.232084930452184,0.905869052183526
"9984","ENSG00000279017.1","TEC",0.256911567441595,1.87022311977088
"6495","ENSG00000135631.16","protein_coding",0.217130578258114,-1.27229021944265
"3583","ENSG00000226003.2","processed_pseudogene",0.185487238553166,0.848715550921173
"6718","ENSG00000115548.16","protein_coding",0.180453227107494,3.51583011625693
"2317","ENSG00000228971.2","lincRNA",-0.238767178238235,-1.22508938531655
"15066","ENSG00000169777.6","protein_coding",-0.276577384124746,5.96703592864414
"2286","ENSG00000233129.1","processed_pseudogene",0.200733120747558,1.21614893308351
"1902","ENSG00000238139.2","processed_pseudogene",0.254679447655552,-1.18618291193303
"10249","ENSG00000239557.1","processed_pseudogene",-0.203284421716934,-1.25115262129969
"7364","ENSG00000234199.2","lincRNA",0.256715586398808,1.02176305811323
"5702","ENSG00000187536.4","processed_pseudogene",0.242374054842487,-1.12858966986663
"14551","ENSG00000221891.2","processed_pseudogene",-0.229153238771726,-1.13672126432948
"11805","ENSG00000085276.17","protein_coding",0.18803396468357,0.809016082948897
"8735","ENSG00000283637.1","miRNA",0.222441509793853,-1.35312146462084
"16074","ENSG00000131730.15","protein_coding",0.273186377023664,2.60180065965514
"17873","ENSG00000265083.1","miRNA",0.20919511903229,0.726927306398424
"2013","ENSG00000237552.1","lincRNA",0.204465407286301,0.251066210125646
"16270","ENSG00000200884.1","misc_RNA",0.287956657081695,-1.46227381402518
"2270","ENSG00000137942.16","protein_coding",-0.209039607786793,4.22540439272585
"4056","ENSG00000226570.2","processed_pseudogene",0.219884668790365,0.218826958860877
"12894","ENSG00000251332.1","processed_pseudogene",0.189897330399265,2.55065126356088
"908","ENSG00000000938.12","protein_coding",0.238257687508903,-1.30825925976454
"2096","ENSG00000142875.19","protein_coding",0.219269821329387,4.38990919790206
"5316","ENSG00000200495.1","snRNA",0.173564024385202,5.56140905989181
"13568","ENSG00000274154.1","processed_pseudogene",0.23865515621988,-1.27490105103516
"6088","ENSG00000236824.2","scRNA",0.204357528803083,1.50803296087261
"612","ENSG00000265606.1","miRNA",0.212743562831837,0.4604693966719
"1868","ENSG00000116675.15","protein_coding",0.206863490792662,1.03015551825701
"1439","ENSG00000229815.1","processed_pseudogene",0.184834841253621,2.45006254070596
"6322","ENSG00000230923.2","lincRNA",0.317163480034558,-1.55475768458813
"4316","ENSG00000232626.3","transcribed_processed_pseudogene",0.25691919171646,-1.25098771281394
"14968","ENSG00000259603.1","antisense",0.243307411626913,-0.758580920475925
"7265","ENSG00000169679.14","protein_coding",-0.248275211867924,7.35688700610782
"3222","ENSG00000207321.1","snRNA",0.300481173618424,-1.25489873146548
"15499","ENSG00000270513.1","processed_pseudogene",0.224457084288611,-1.10880276916896
"12758","ENSG00000248228.1","sense_intronic",-0.212724114074018,-1.02597677700609
"7627","ENSG00000276460.1","unprocessed_pseudogene",0.227744823056628,0.981886537135004
"5084","ENSG00000215805.3","processed_pseudogene",0.196060616399148,-0.264812205273355
"7563","ENSG00000271435.1","processed_pseudogene",0.173693490534369,1.37970247563463
"13901","ENSG00000241722.2","processed_pseudogene",0.31158275338539,-1.63215912203445
"12564","ENSG00000272620.1","antisense",0.204477469921614,0.244422922644262
"18492","ENSG00000202241.1","misc_RNA",0.241945967045315,-0.503013939220758
"9016","ENSG00000187957.7","protein_coding",0.401619567663876,-1.15839042497104
"3666","ENSG00000243173.3","misc_RNA",0.217934863993838,0.316407486253455
"9192","ENSG00000232328.1","lincRNA",0.270859862915781,-0.232151998401215
"2937","ENSG00000180867.11","transcribed_processed_pseudogene",0.190608895172499,3.14084011405555
"1867","ENSG00000231622.1","processed_pseudogene",0.182197760292093,1.62695878763266
"13271","ENSG00000109163.6","protein_coding",0.177968298734738,2.66865862052752
"17607","ENSG00000248996.1","antisense",0.186556083376331,1.46102695467323
"1194","ENSG00000183317.16","protein_coding",0.259542081289119,1.1025894447808
"14526","ENSG00000251123.1","processed_pseudogene",0.225692759589112,-0.169957669820366
"6183","ENSG00000227799.1","processed_pseudogene",0.220272282212573,0.649241252965972
"5617","ENSG00000227047.1","lincRNA",0.229507019025636,4.89125859244666
"8525","ENSG00000115993.12","protein_coding",0.190688466138829,0.724549796234637
"15120","ENSG00000248462.1","processed_pseudogene",0.226315611573704,0.588016588036942
"7248","ENSG00000282785.1","transcribed_unprocessed_pseudogene",0.227809055927227,0.989744153394442
"5701","ENSG00000143970.16","protein_coding",-0.229945411583109,0.620349493806552
"255","ENSG00000284744.1","lincRNA",0.172357912476866,-0.204885062546562
"11945","ENSG00000121864.9","protein_coding",0.181975029529713,5.90568623863499
"14806","ENSG00000250327.1","processed_pseudogene",0.291393974608926,-1.22641722941526
"3089","ENSG00000259357.2","antisense",0.261223938941363,-1.17774440247868
"2550","ENSG00000259834.1","lincRNA",0.194288242863506,0.200820148723332
"5381","ENSG00000151360.9","protein_coding",0.197789469055804,0.463357555101749
"5747","ENSG00000186143.11","protein_coding",0.183595599911472,1.47424586584325
"1848","ENSG00000284928.1","lincRNA",0.179878849244398,2.76576481512944
"7124","ENSG00000227157.1","lincRNA",-0.206226082663612,3.89921342074217
"7473","ENSG00000237524.9","protein_coding",0.215232521167882,1.09504586452539
"18691","ENSG00000112473.17","protein_coding",0.210549137718423,1.91046391913714
"523","ENSG00000116809.11","protein_coding",0.198099348960809,-1.29410277216482
"11316","ENSG00000214288.4","processed_pseudogene",0.214036195080842,2.95522683224045
"2516","ENSG00000134202.10","protein_coding",0.208866073973956,5.05360037314176
"10495","ENSG00000244130.1","processed_pseudogene",0.17222138007454,5.71013876435652
"11493","ENSG00000242671.1","lincRNA",0.210640460189186,1.37434236267142
"12984","ENSG00000188848.15","protein_coding",0.194413911151479,0.982588177172964
"6769","ENSG00000214336.4","protein_coding",0.216076649916634,1.34601653248851
"3489","ENSG00000279111.2","protein_coding",0.262287436624319,0.308218522606149
"11081","ENSG00000276626.1","misc_RNA",0.181774217501323,0.109723894658277
"9524","ENSG00000251576.1","lincRNA",0.209853411470078,3.18388487817284
"16623","ENSG00000249577.1","processed_pseudogene",-0.267039803629274,0.923096078777489
"8022","ENSG00000224490.5","processed_transcript",0.166722983545706,1.84149465958125
"7781","ENSG00000121964.14","protein_coding",0.176058843128871,3.34678026855475
"12903","ENSG00000271958.1","lincRNA",0.206594241795263,2.95709929052199
"13738","ENSG00000172955.17","protein_coding",0.205381242084289,1.986145357593
"2832","ENSG00000270962.1","processed_pseudogene",0.179515831304679,8.16244562572326
"140","ENSG00000169885.9","protein_coding",0.272256012220157,-1.43792918232722
"5121","ENSG00000197769.5","protein_coding",0.212664536463857,0.252389111313003
"1531","ENSG00000225028.1","lincRNA",-0.209765923811219,5.38999754285515
"11625","ENSG00000174948.5","protein_coding",0.217773810823516,-0.334996018563009
"7007","ENSG00000277701.4","lincRNA",0.185444316560188,0.597685047939695
"17151","ENSG00000164284.14","protein_coding",-0.19288670000941,4.55843727968069
"8597","ENSG00000233459.1","processed_pseudogene",0.195958572660922,1.34358723602972
"2865","ENSG00000277199.1","lincRNA",-0.18558809430216,2.14408214555653
"8343","ENSG00000144366.15","protein_coding",-0.194770632832697,-1.31690566186584
"5763","ENSG00000163795.13","protein_coding",0.172492431058729,1.89366690848284
"14151","ENSG00000249000.1","lincRNA",0.195991633455053,0.648883573319758
"16196","ENSG00000241059.2","antisense",0.263058701324642,-1.19891752801527
"10011","ENSG00000251967.1","snoRNA",0.169429730007263,5.29785087592552
"1471","ENSG00000232467.2","processed_pseudogene",0.218643115223342,-1.38216052973457
"920","ENSG00000269971.1","sense_intronic",0.147486587817293,0.705448611552477
"13615","ENSG00000198189.10","protein_coding",0.17963294683013,3.80118411866071
"17433","ENSG00000263831.1","miRNA",0.198086579037213,2.32613824484389
"8749","ENSG00000138376.10","protein_coding",0.202842426689801,-0.0586857549861722
"3377","ENSG00000132680.10","protein_coding",0.216240835043949,3.12518751176993
"8252","ENSG00000271011.1","antisense",0.360638618081224,-1.16294683770169
"14829","ENSG00000250590.5","lincRNA",0.211688208165445,0.672948755833571
"5514","ENSG00000239899.3","misc_RNA",0.241712832171089,1.01023737840508
"5904","ENSG00000115808.11","protein_coding",-0.178490326851981,6.83862343764413
"8473","ENSG00000238217.5","lincRNA",-0.218760682845608,-1.34126511906296
"10174","ENSG00000179564.3","protein_coding",0.304821121096017,-1.49063053532044
"6853","ENSG00000211625.2","IG_V_gene",0.220685299925095,0.155022298423082
"9388","ENSG00000227110.6","antisense",0.187845101747194,-1.08397757269924
"1996","ENSG00000213579.3","processed_pseudogene",0.206609827388088,-0.817636166921997
"3481","ENSG00000173285.4","protein_coding",0.170901979001883,1.41974393564746
"10029","ENSG00000275940.1","processed_pseudogene",0.158443995259158,5.27450922233348
"9344","ENSG00000227588.2","lincRNA",-0.190058701885919,4.36154390051334
"9262","ENSG00000144504.15","protein_coding",0.168058942728027,0.926679651253316
"14463","ENSG00000151790.8","protein_coding",0.213188016188184,-1.39802231367593
"7626","ENSG00000226831.1","processed_pseudogene",0.231429649438031,0.843637389506616
"8531","ENSG00000224299.1","unprocessed_pseudogene",0.173229625271937,2.20432547422284
"1904","ENSG00000232048.2","processed_pseudogene",0.187736050355081,1.27811924598407
"15036","ENSG00000251549.2","unprocessed_pseudogene",0.17529602654854,1.68900981525482
"12542","ENSG00000284847.1","unprocessed_pseudogene",0.184940980258066,-0.468131157621038
"4843","ENSG00000269934.1","antisense",0.183316383874921,2.57724839351023
"11457","ENSG00000163714.17","protein_coding",0.18373775897249,1.03143064665426
"3189","ENSG00000203786.6","protein_coding",0.190565482037281,3.01182660615517
"9865","ENSG00000188846.13","protein_coding",0.249334587200934,-1.34303965423876
"5930","ENSG00000232973.12","antisense",0.300068445358866,-1.58611095143976
"602","ENSG00000280222.1","TEC",0.24229524290276,-1.52946626341397
"8747","ENSG00000224257.1","sense_intronic",0.233445881813332,-1.61496236469318
"8129","ENSG00000172845.14","protein_coding",0.20647801614019,-0.365559406684707
"3368","ENSG00000163374.19","protein_coding",0.171629680258499,0.360148172131624
"4927","ENSG00000223393.1","antisense",0.194791652889292,1.25774110786111
"11822","ENSG00000240128.1","processed_pseudogene",0.20747130161056,-1.32027012163563
"4453","ENSG00000224114.1","processed_pseudogene",0.22528429007312,0.385670863867796
"11359","ENSG00000240668.1","processed_pseudogene",0.196776427667143,-1.45051198307156
"11996","ENSG00000278026.1","misc_RNA",0.204778142669552,-1.23266245658563
"11167","ENSG00000222627.1","snRNA",-0.184082127427481,0.930762681174483
"8149","ENSG00000236449.1","antisense",-0.204888210516934,0.236545921663181
"6302","ENSG00000115507.9","protein_coding",-0.190409397418252,4.91917254254743
"4856","ENSG00000181201.3","unitary_pseudogene",0.235164385864444,0.510973506707126
"9992","ENSG00000172215.5","protein_coding",0.24238416088124,-1.55699906763827
"14245","ENSG00000250141.1","lincRNA",0.23235292148482,0.567707517285941
"6528","ENSG00000163170.11","protein_coding",0.162245206715759,2.86456198366916
"14605","ENSG00000201818.1","misc_RNA",0.265914191654536,-1.41749835199237
"8296","ENSG00000232430.1","processed_pseudogene",0.213602957496647,1.48312153513027
"15877","ENSG00000285804.1","antisense",0.224680506200269,-0.910921257144041
"6092","ENSG00000277396.1","misc_RNA",0.267204942143006,0.781258592703186
"15581","ENSG00000152684.10","protein_coding",0.19204735715012,-0.553662513332311
"9991","ENSG00000163820.14","protein_coding",0.21365354999449,-0.772475492576628
"15840","ENSG00000198237.8","unprocessed_pseudogene",0.203978969647901,-1.31764123451897
"17227","ENSG00000213433.5","transcribed_processed_pseudogene",0.197388312368658,-0.312111496126324
"1614","ENSG00000224255.2","processed_pseudogene",0.235549643337215,1.28618385950857
"554","ENSG00000233421.4","lincRNA",0.204538955721494,3.38817933609856
"9989","ENSG00000173585.15","protein_coding",0.185212732490061,0.409314497631851
"10927","ENSG00000151577.12","protein_coding",0.186758222277761,0.488103015005223
"2980","ENSG00000252744.1","misc_RNA",0.162689737097861,2.13273072670073
"5623","ENSG00000143869.6","protein_coding",0.241590442438348,-1.23012403620636
"5813","ENSG00000229224.1","antisense",0.188394431782682,-0.378388373804468
"18942","ENSG00000237107.3","processed_pseudogene",0.156203536397313,4.74431193732156
"14190","ENSG00000250977.1","lincRNA",0.201992554394991,-1.39539231850968
"2672","ENSG00000134259.3","protein_coding",0.160489852924283,1.41619296469655
"16639","ENSG00000248634.1","sense_intronic",0.165695552243138,0.124019009230291
